21.4433332,8.73722811
74.59154738,8.815963731
120.7394767,8.837521442
155.4507327,8.745911476
184.8901114,8.663097935
219.4844888,8.580551072
256.6400082,8.499405944
296.3433685,8.420693946
338.6073048,8.343427572
383.4364393,8.267248394
432.0571308,8.242515605
463.0551829,8.333383534
487.4053132,8.40520486
519.7851597,8.494379054
559.884876,8.58493248
597.5846026,8.661587965
643.0020546,8.739788973
696.1792033,8.816280929
735.489296,8.768064021
757.9319934,8.677793143
794.6162249,8.583193022
829.2298462,8.49915393
868.9292446,8.420749155
911.5631739,8.394792464
946.7294472,8.507899157
975.6331162,8.579959415
1012.720609,8.670755939
1050.270934,8.758996444
1087.964614,8.83612081
1133.576147,8.899272239
1191.093647,8.839200882
1246.874254,8.913813262
1302.664617,8.987669154
1358.678929,9.044159318
1398.260008,8.974929364
1425.159753,8.889046301
1457.234872,8.801849909
1489.245751,8.719634931
1521.223172,8.640014288
1555.844667,8.555364649
1590.378596,8.477505145
1616.998625,8.384740656
1658.759105,8.289370796
1681.340737,8.224040888
1700.401066,8.266048461
1736.848182,8.319834955
1755.114746,8.303393427
1776.059973,8.279240657
1776.440324,8.249747169
1812.863668,8.225377006
1868.898706,8.28026003
1926.203886,8.236652678
1971.41992,8.330472228
2011.61334,8.413759568
2056.909423,8.501371866
2094.615659,8.577522626
2107.952069,8.543379267
2142.706264,8.448439713
2158.514594,8.42261661
2165.390083,8.489471538
2207.928503,8.590920936
2235.22422,8.674333045
2262.623477,8.749716371
2294.997029,8.839378709
2335.232358,8.919416302
2386.088638,8.975875015
2428.380622,8.896433736
2460.359587,8.816693478
2500.11419,8.734007947
2545.028932,8.65119054
2589.945325,8.568245123
2632.209685,8.490945832
2679.749014,8.404610482
2701.061247,8.351999049
2721.136638,8.395295876
2764.210029,8.455262076
2800.938991,8.407193385
2821.913033,8.380806259
2872.230995,8.434563247
2918.021486,8.52828218
2962.306782,8.494273796
3006.782254,8.445518668
3059.865179,8.529316965
3105.255293,8.609637818
3148.06721,8.689879461
3198.57847,8.773092095
3239.755149,8.780134724
3269.224696,8.694981892
3298.613757,8.616070093
3337.77741,8.529208565
3383.256955,8.452594693
3430.768229,8.368434732
3477.944936,8.310218117
